name,SPE,Easy,Cascade,RUSBoost,DES-P,KNORA-U,DES-KNN,KNOP,META-DES,KNORA-E,DES-KL,DES-RRC
ecoli-0-3-4_vs_5,0.9537662337662337,0.9534615384615385,0.949563492063492,0.932665343915344,0.9287896620636559,0.9330717893217894,0.91753885003885,0.9335989609519022,0.933252086078173,0.9133721833721834,0.9309408787669657,0.9265890269151138
ecoli-0-4-6_vs_5,0.8933044005802626,0.9189083411142235,0.9112123334182158,0.8606972276089924,0.8777911041591214,0.8779923271523355,0.8700781868067128,0.8779518799389675,0.8709458660638834,0.8563065517740314,0.8756616966369288,0.870092548994988
ecoli-0-6-7_vs_3-5,0.8483135383135384,0.8539396210737674,0.8496582519547636,0.8339074492335361,0.8163713109079241,0.8535477669130694,0.8002734998495867,0.8464989743679028,0.8438138050571468,0.757456228956229,0.8314249197184863,0.8296774348885793
ecoli-0-6-7_vs_5,0.8569070669070669,0.8453310776069396,0.8493497277338741,0.8124620086281242,0.8151556612984365,0.8214645981575681,0.7824983023512435,0.8224656336660832,0.8194187430216842,0.7652264621516025,0.8182164132368974,0.816694806873835
glass-0-1-4-6_vs_2,0.48377676677353765,0.4817602309397975,0.4964680473788633,0.3656038593198275,0.5179852156754223,0.5096483943323024,0.4852881168624909,0.5183850704620371,0.47431870273975535,0.45421973766789053,0.44353931117646983,0.4423559465085018
glass-0-1-5_vs_2,0.5529334608746374,0.5306033150960687,0.5691359067584558,0.44304411437649893,0.49095982358237256,0.4895645679856206,0.39646574596522993,0.5129818667990711,0.4408814642147975,0.4905689363287402,0.5145216787760647,0.5035184341324691
glass-0-1-6_vs_2,0.40119022717197156,0.4549061508762231,0.46906251119976605,0.3221510869699275,0.4116254401009302,0.40503511378595003,0.4171654882076667,0.4131516627179457,0.40359728978981846,0.3930401394429365,0.35519611899667825,0.33956469029365927
glass2,0.49680651993345487,0.6185309679427327,0.6359685648411139,0.4865862681379923,0.5256320481640174,0.5218306030777426,0.6002075702075701,0.5679841405161098,0.5300071533404866,0.48771081450396014,0.4613039195797816,0.4540052799701922
glass4,0.9272222222222222,0.9049999999999999,0.9305555555555555,0.9018801075607655,0.927957594521062,0.9279015721120984,0.9256216831985775,0.9276882376882376,0.9275327959538485,0.9334317007282124,0.9223010323010322,0.9279126102655514
libras_move,0.9637873237873238,0.9332498982498982,0.9508042542253069,0.9516953262786596,0.9433190588663225,0.9474465427219051,0.9154838387309783,0.9423667546813327,0.9235429385429386,0.9272181522181522,0.9522161172161172,0.9515079365079366
oil,0.6278624789181749,0.5797595901814503,0.6105972804073853,0.5845269860727244,0.5446864074838687,0.5552566052137053,0.5074680847773443,0.5628005814192382,0.5596557370845037,0.520526807435894,0.5876113836211646,0.5439527362659943
optical_digits,0.9928169897047653,0.9903991094753641,0.9915978430033692,0.9744618450773488,0.9918121547168722,0.9919023193993783,0.9898378474360215,0.9737756170016207,0.9918172041781965,0.991851479023233,0.9917865409435874,0.9918424447456794
page-blocks-1-3_vs_4,0.9246518759018758,0.8793280793280793,0.8868933499325655,0.9327368927368928,0.8990380444154028,0.9012448955352975,0.9260561729661899,0.8961814868783996,0.9068780054138749,0.9218476100240806,0.9017402417610787,0.9096904942474192
pen_digits,0.9993118691348651,0.9995313580156594,0.9995611163101776,0.9972857398536795,0.9991967642776555,0.9992642425854324,0.9955256561951916,0.9973588730482363,0.999177859279219,0.9987498019352082,0.9991753596855346,0.9991818071121593
poker-8-9_vs_5,0.1550573606926089,0.1384010878056938,0.16342931351347775,0.03829825280931225,0.09462347340608454,0.087493975238678,0.07058763173904235,0.09677767970350828,0.09296500971791113,0.06662038054329554,0.11303674080190772,0.08533485219169454
poker-8-9_vs_6,0.7451599133887974,0.6499869224167559,0.813137579669549,0.49218296333385353,0.7605595245175205,0.7714202553266021,0.8375313540617366,0.808750780895585,0.8620703370703371,0.8576274553333376,0.7297916948555968,0.7245621266834994
