name,SPE,Easy,Cascade,RUSBoost,DES-P,KNORA-U,DES-KNN,KNOP,META-DES,KNORA-E,DES-KL,DES-RRC
ecoli-0-3-4_vs_5,0.9603174603174603,0.9086691086691087,0.9234415584415584,0.9698015873015873,0.9758333333333333,0.9743518518518518,0.9572222222222222,0.9580555555555555,0.9666666666666667,0.9694444444444444,0.98,0.98
ecoli-0-4-6_vs_5,0.9038095238095238,0.8805193539404066,0.8802182539682539,0.8973210395269219,0.9101719576719577,0.9273436748436749,0.883991108259401,0.8881307118807118,0.8813119288119288,0.9132000903342367,0.9322089947089948,0.9322089947089948
ecoli-0-6-7_vs_3-5,0.84005057578587,0.8240341412400236,0.8479664438874965,0.8363648368806771,0.8580417389627916,0.8476950174008998,0.8572115384615384,0.8556251740462266,0.8418343711671885,0.7424346024346025,0.8519076897337766,0.8519076897337766
ecoli-0-6-7_vs_5,0.8647825736355148,0.8489441884280594,0.8514030501089324,0.8802833277833277,0.8905458089668615,0.8869225990059324,0.8502332852332852,0.8711041736041736,0.8865306915306915,0.7884902134902134,0.8707543199419466,0.8707543199419466
glass-0-1-4-6_vs_2,0.4128480959853509,0.3851442824801733,0.45718230327350134,0.48702261935595265,0.4673812730479397,0.4743515435182102,0.41931943070796296,0.41730538889310814,0.36837091981104186,0.3488248750647125,0.3895330250722407,0.3895330250722407
glass-0-1-5_vs_2,0.4224821986483493,0.38807666237333754,0.44778359440124144,0.3877478130458006,0.4537518512905509,0.4677808797246137,0.46871447000807165,0.5059085741844362,0.4879977898172535,0.43854972188305524,0.42610435796077795,0.42610435796077795
glass-0-1-6_vs_2,0.3987334818604168,0.32452915457817416,0.44485517542676567,0.4331455115912871,0.44234875276162977,0.42929213506799707,0.48647836731170063,0.440704148980011,0.45893667031921426,0.4617645934312601,0.3843978249672887,0.3843978249672887
glass2,0.4188175336111353,0.3760895277561944,0.42703394730069466,0.43820218053551385,0.4862064478731145,0.46956050122716786,0.4151681002558195,0.43794897205816746,0.4636549525275015,0.4291428683289148,0.4240495615495615,0.4240495615495615
glass4,0.862922502334267,0.8380555555555556,0.8281020214353547,0.8378518518518518,0.8885185185185185,0.8997089947089947,0.8609474590869939,0.8868253968253968,0.9280423280423281,0.892058570198105,0.9129059829059829,0.9129059829059829
libras_move,0.9017668067810602,0.8714367740437725,0.918294777117829,0.9244627224627224,0.9113262786596119,0.9373866133866133,0.9228621021379642,0.9228254103573796,0.945472582972583,0.9283915343915344,0.9586736411736412,0.9586736411736412
oil,0.5960075821948342,0.5792566972508689,0.6011611618103962,0.49769333528681553,0.5794952270007024,0.607584215941732,0.5465806693316274,0.5939525893603563,0.5981781019883824,0.5635960906398559,0.6155559239500092,0.6152402673843528
optical_digits,0.9918807833225238,0.9742138774030074,0.9883691303970411,0.9888614240552079,0.9933440562766549,0.9937541244160736,0.9922781462412502,0.9925571806512004,0.9929080187675017,0.9953382302550582,0.9940182466539034,0.9940195843902325
page-blocks-1-3_vs_4,0.9984126984126984,0.9919312169312169,0.9965608465608465,0.9984126984126984,1.0,1.0,0.9965608465608465,0.9984126984126984,0.9984126984126984,1.0,0.9984126984126984,0.9984126984126984
pen_digits,0.998937375192087,0.9968236110116783,0.9986759400288067,0.9981283166686242,0.998914550167217,0.9989831429798889,0.9985121497681271,0.9989613950102167,0.9989203969108683,0.998960645487672,0.9989882408590918,0.9989734937863629
poker-8-9_vs_5,0.1278151309871848,0.15428037746518783,0.1888708842990934,0.10082833528342824,0.09415532173130405,0.09466603754477301,0.08761758007611298,0.14038960722023547,0.10416212340641069,0.0728706844517178,0.11115007701598854,0.11116733436744938
poker-8-9_vs_6,0.29654396205026373,0.34392543194243325,0.8679550463891927,0.8705669556014828,0.5970843978796861,0.6749466775265553,0.7617943688173244,0.7126503045456297,0.7328479810933051,0.8504849685726878,0.5125525370093167,0.5125525370093167
poker-8_vs_6,0.23549599925211442,0.21676589198049367,0.769431120836977,0.7992508387942802,0.761930278184148,0.8303598185079666,0.9047794528196538,0.7433906628567832,0.8052626428488497,0.9253853232114101,0.6554554382322252,0.6554554382322252
satimage,0.782162676483,0.714747605484426,0.7641216615113754,0.6267885500404157,0.7928418827773807,0.7953278774192221,0.7810949732735111,0.7819132117347617,0.7868898655827777,0.7775434367052779,0.779765319920252,0.7822701408571888
scene,0.3087494832042518,0.31070764658226513,0.2771862195415454,0.21987294435109728,0.3030105418300007,0.31002824726914635,0.2862172127596579,0.30278100920039047,0.29626248398842586,0.2348956241451757,0.2991497880892054,0.2991020356456885
thyroid_sick,0.9703586870720758,0.9432568448118522,0.9585707320593987,0.889386648032904,0.9635149036397297,0.9713740782429388,0.9605427000647353,0.9722798093659407,0.9673480940648786,0.9302103215573693,0.9724733844742742,0.972444606424698
vowel0,0.9930022773226435,0.9672098631715278,0.984588133075444,0.9961065707747631,0.9961026134359467,0.9959076816620677,0.9958128816404942,0.9945901365916622,0.9949437985242715,0.997295595892087,0.995401103402629,0.995401103402629
winequality-red-3_vs_5,0.13836286147538554,0.13893817968201105,0.06551235558835232,0.09857366501863751,0.11565777328406426,0.15514121417106247,0.1226950720486507,0.10899861298452417,0.16122723994917568,0.13332650048275818,0.16306980752016323,0.16306980752016323
winequality-red-4,0.14167755745374838,0.14697141615779133,0.09542526114087682,0.11212696836419496,0.15528927347478777,0.1621389630794494,0.13004452808258168,0.16541048338623338,0.1699045713898739,0.1269196008933978,0.1612886176101234,0.16144517042925313
winequality-red-8_vs_6-7,0.18055614263938466,0.1484617484510045,0.15993047169269278,0.15386859148035611,0.1929178347022587,0.19048926616303194,0.14973030270735668,0.20271053462815336,0.20370514690568287,0.13507963563578607,0.19097138106163664,0.19097138106163664
winequality-red-8_vs_6,0.3046674521961288,0.28765913112046515,0.24615701684328742,0.2542551318088098,0.33731415988534613,0.3528057166827587,0.3479773241379934,0.36290638336884323,0.36972507197967514,0.30693834258313046,0.3696652915137539,0.3696652915137539
