name,SPE,Easy,Cascade,RUSBoost,DES-P,KNORA-U,DES-KNN,KNOP,META-DES,KNORA-E,DES-KL,DES-RRC
ecoli-0-4-6_vs_5,0.9164177489177489,0.8841822991822992,0.9164442039442039,0.9062987012987013,0.9210052910052909,0.9311904761904762,0.8870870434894825,0.8871520146520147,0.9034523809523809,0.8949054716737643,0.9191091588150412,0.9210846560846561
ecoli-0-6-7_vs_3-5,0.8301808312273429,0.7930513468013468,0.8286105290922735,0.8220262266972793,0.8592879016408428,0.8613442113442112,0.8242718976929503,0.8573120780879401,0.8250265153526023,0.7490365462424287,0.8589730639730639,0.8608279342489868
ecoli-0-6-7_vs_5,0.8729495586113233,0.8608970278087925,0.8755069549187197,0.832538295038295,0.8904479316979317,0.8871966459466459,0.834915824915825,0.8541517741517741,0.8639925161983986,0.8275711548987411,0.8804653679653679,0.8743711040421567
glass-0-1-4-6_vs_2,0.40241099896930643,0.3793510650569474,0.3843958053565896,0.48938134396467725,0.4569957511624178,0.4539822214822215,0.42485310660749254,0.4564774350558664,0.4284417365686715,0.40347640164713333,0.40882483529542346,0.4038523205189872
glass-0-1-5_vs_2,0.3819655652988986,0.37442908942908937,0.36807398411319975,0.41925450645922363,0.4522467619526443,0.45417582417582414,0.456213200379867,0.46638928972262306,0.47978252540946037,0.46793891293891293,0.3789738039738039,0.41959910459910454
glass-0-1-6_vs_2,0.41053914495090965,0.3597362477754634,0.4138197643015087,0.3765886876906367,0.47299147688591126,0.4621436555647082,0.4786831618100968,0.4606268464904278,0.43555524739743584,0.44409186129774364,0.41547054797054794,0.42008152016923944
glass2,0.38280638751226986,0.3675060923100138,0.42420751762857023,0.41980395039076224,0.4556485489818823,0.4667243867243867,0.41314694564694565,0.39884794218127545,0.40025755616932085,0.3988310325907225,0.393646785313452,0.411001961001961
glass4,0.8391161616161615,0.7658921293131818,0.8015188651218063,0.7783121433121434,0.8708730158730158,0.8755844155844155,0.8446511627906976,0.8616666666666666,0.8714285714285714,0.8757622739018088,0.868526455026455,0.8694708994708994
libras_move,0.9022293841424276,0.8743526926393979,0.9086462086300796,0.8880388407888408,0.9232394642394641,0.9289263835815909,0.9336873496873497,0.9200550058148097,0.9376161616161617,0.9522751322751322,0.9508013312852023,0.9535490931832395
oil,0.5673645044480405,0.5648568542094439,0.6246942150843066,0.5090131145491114,0.5744790235273178,0.5914991933458633,0.5685316882592585,0.6034968893917162,0.5883916482319947,0.585644928657537,0.6005989496086492,0.6054085865181823
