dname,iteration,base_model,size,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
glass2,5,DT,20,DESKNN,0.0071220397949218,0.8958333333333333,0.3166666666666666,0.0,0.0,-0.075
glass2,5,DT,20,deskl,0.0438411235809326,0.85,0.2452380952380952,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,5,DT,20,rrc,0.3693075180053711,0.85,0.2452380952380952,0.3636363636363636,0.752772652709081,0.3382377298657882
glass2,6,DT,20,SPE,0.1281366348266601,0.8125,0.2083333333333333,0.0,0.0,-0.075
glass2,6,DT,20,Easy100,0.0775341987609863,0.7208333333333333,0.1392857142857143,0.1428571428571428,0.5,0.0486561840100951
glass2,6,DT,20,Cascade100,0.0846467018127441,0.8791666666666667,0.3244047619047618,0.4,0.7637626158259733,0.3737855113104419
glass2,6,DT,20,RusBoost100,0.0969002246856689,0.5916666666666666,0.3946886446886447,0.2222222222222222,0.5400617248673216,0.1531697129362099
glass2,6,DT,20,DES-P,0.0069422721862792,0.8333333333333334,0.2176638176638176,0.0,0.0,-0.075
glass2,6,DT,20,META-DES,0.2123534679412841,0.7791666666666668,0.1933723196881091,0.0,0.0,-0.0877058019307029
glass2,6,DT,20,knorae,0.0068354606628417,0.8875000000000001,0.2896825396825396,0.25,0.5477225575051661,0.1854345299891061
glass2,6,DT,20,knorau,0.011094331741333,0.85,0.2483164983164983,0.0,0.0,-0.075
glass2,6,DT,20,knop,0.0213096141815185,0.825,0.205026455026455,0.0,0.0,-0.0993399267798783
glass2,6,DT,20,DESKNN,0.0110900402069091,0.8666666666666666,0.2333333333333333,0.25,0.5477225575051661,0.1854345299891061
glass2,6,DT,20,deskl,0.0326213836669921,0.85,0.242063492063492,0.0,0.0,-0.075
glass2,6,DT,20,rrc,0.4742755889892578,0.85,0.242063492063492,0.0,0.0,-0.075
glass2,7,DT,20,SPE,0.1272666454315185,0.9916666666666668,0.8666666666666667,0.75,0.9746794344808964,0.754983443527075
glass2,7,DT,20,Easy100,0.0660376548767089,0.8875,0.3055555555555556,0.375,0.8660254037844386,0.4160251471689218
glass2,7,DT,20,Cascade100,0.0983500480651855,0.9375,0.3873015873015873,0.5,0.9219544457292888,0.532290647422377
glass2,7,DT,20,RusBoost100,0.1088490486145019,0.85,0.2388888888888889,0.0,0.0,-0.0877058019307029
glass2,7,DT,20,DES-P,0.0192916393280029,1.0,1.0,0.6,0.9486832980505138,0.6210590034081188
glass2,7,DT,20,META-DES,0.1852567195892334,0.9583333333333334,0.6666666666666667,0.6,0.9486832980505138,0.6210590034081188
glass2,7,DT,20,knorae,0.0068566799163818,0.9666666666666666,0.5333333333333333,0.5454545454545454,0.9354143466934852,0.5728219618694801
glass2,7,DT,20,knorau,0.0145115852355957,0.9916666666666668,0.9166666666666666,0.5,0.9219544457292888,0.532290647422377
