,dname,iteration,base_model,Algorithm,Time,AUROC,PRAUC,F1_score,geometric_mean,matthews_corrcoef
56,ps_failure.csv,6,DT,knorae,2.370434284210205,0.8833885792599362,0.4742062166091169,0.6907378335949764,0.8901621255227853,0.6909961063591609
57,ps_failure.csv,6,DT,knorau,2.151019811630249,0.990529861428354,0.8251281299799536,0.7109737248840804,0.9101682667469836,0.7132424333447754
58,ps_failure.csv,6,DT,knop,3.836602210998535,0.9755836150449216,0.4529053231563644,0.5256673511293635,0.9504094314592688,0.5734826918972834
59,ps_failure.csv,6,DT,DESKNN,2.245736598968506,0.9431863560225368,0.5444386308971605,0.6494992846924177,0.9025292784851456,0.6574377777375316
60,ps_failure.csv,7,DT,SPE,1.1518542766571045,0.98890293893711,0.8422722683841394,0.6938775510204082,0.9248907022047638,0.7016516104563669
61,ps_failure.csv,7,DT,Easy100,2.763224840164185,0.9850247601644584,0.6662137247014428,0.4317817014446228,0.9654909964995056,0.5075102216765448
62,ps_failure.csv,7,DT,Cascade100,1.0936691761016846,0.9883694837825492,0.7740606108307754,0.5227272727272727,0.9449220718890254,0.5689988808438886
63,ps_failure.csv,7,DT,RusBoost100,1.4232382774353027,0.9853472209532512,0.6206803928044222,0.4059795436664044,0.9443470337950725,0.4786968782872377
64,ps_failure.csv,7,DT,DES-P,1.9064481258392332,0.9831052230851224,0.8202932392213758,0.7222222222222222,0.9181418062737328,0.7250134218784865
65,ps_failure.csv,7,DT,META-DES,65.32018113136292,0.960358276229633,0.3339700355868381,0.5035246727089627,0.9383947686828154,0.5514549083557717
66,ps_failure.csv,7,DT,knorae,2.3241126537323,0.8998820770519264,0.4740272109348318,0.6858006042296072,0.9036622441487328,0.6893860819900446
67,ps_failure.csv,7,DT,knorau,2.032529354095459,0.9888364245469774,0.8557884669149705,0.7127819548872181,0.9235710382901726,0.7178479580326308
68,ps_failure.csv,7,DT,knop,3.837756633758545,0.9755964062737932,0.4583807325065996,0.5193482688391039,0.9482565570267716,0.5677031217889243
69,ps_failure.csv,7,DT,DESKNN,2.118236541748047,0.9541131110095936,0.6183999241263411,0.661134163208852,0.9257001268425444,0.6738599505008819
70,ps_failure.csv,8,DT,SPE,1.1308720111846924,0.9788769301050708,0.814307952656635,0.6657101865136298,0.9126316914469318,0.67407990251744
71,ps_failure.csv,8,DT,Easy100,2.7095673084259038,0.9772256433683568,0.60004625667148,0.4374482187241094,0.957618486574453,0.5084758955046145
72,ps_failure.csv,8,DT,Cascade100,1.069587469100952,0.977824151058322,0.7549383458229586,0.5303983228511531,0.945378603268335,0.5751629546577424
73,ps_failure.csv,8,DT,RusBoost100,1.1254286766052246,0.9762938328003652,0.5964508698817704,0.4118589743589743,0.9432456303485406,0.4827525395586828
74,ps_failure.csv,8,DT,DES-P,1.826000690460205,0.9766217755443886,0.7363568862498636,0.7083969465648855,0.9139314286705882,0.7117506899747248
75,ps_failure.csv,8,DT,META-DES,77.43477201461792,0.9372822902390742,0.3345679637510937,0.5066124109867752,0.9368075606359544,0.5532255604237889
76,ps_failure.csv,8,DT,knorae,2.4219279289245605,0.8859285518501598,0.4233147132447073,0.6430678466076696,0.8848170277121216,0.6473863722321781
77,ps_failure.csv,8,DT,knorau,1.9503984451293943,0.9799628445256584,0.8078544698150721,0.6973293768545994,0.9193233785460936,0.7032440491952768
78,ps_failure.csv,8,DT,knop,4.0481276512146,0.960679884269834,0.4466251393860078,0.51440329218107,0.9390760697507086,0.560191891020998
79,ps_failure.csv,8,DT,DESKNN,2.4131019115448,0.9473084208923406,0.553279776144766,0.6364883401920439,0.9116401716958352,0.6489157289766184
80,ps_failure.csv,9,DT,SPE,1.143906831741333,0.987906075833714,0.8490626092465482,0.691970802919708,0.9229456091954282,0.6994913345273206
81,ps_failure.csv,9,DT,Easy100,2.877415418624878,0.985389492919141,0.6878174901413402,0.4151539068666141,0.9537561530348334,0.4897304765125492
82,ps_failure.csv,9,DT,Cascade100,1.0752894878387451,0.9827972590223848,0.7726121359536744,0.5378151260504201,0.9511310539098112,0.5832370745561073
83,ps_failure.csv,9,DT,RusBoost100,1.2294418811798096,0.9777672605451502,0.527880531553248,0.3823305407463823,0.9298380897519992,0.4544221146023062
84,ps_failure.csv,9,DT,DES-P,1.824286699295044,0.9883192934368814,0.8024714503348623,0.7250384024577573,0.9220259603062188,0.7283717149656257
85,ps_failure.csv,9,DT,META-DES,62.68211770057678,0.9558189736561594,0.4026258716424392,0.5518763796909493,0.9412140910977428,0.5903799770400052
86,ps_failure.csv,9,DT,knorae,2.3327114582061768,0.912543688137658,0.4625233171338708,0.6578171091445427,0.8950582566389318,0.6627484767476828
87,ps_failure.csv,9,DT,knorau,1.8117649555206297,0.9888682198873152,0.8576593362482824,0.7212121212121212,0.9257053907882844,0.7257980380213886
88,ps_failure.csv,9,DT,knop,3.708022356033325,0.9716925232221714,0.5160801889971345,0.5545851528384279,0.948518211540762,0.5953374501373707
89,ps_failure.csv,9,DT,DESKNN,2.343576669692993,0.9679126541799908,0.6074399129853331,0.6795048143053645,0.9411933820890362,0.6939997119827501
90,ps_failure.csv,10,DT,SPE,1.1319711208343506,0.9936783310491856,0.8102188641480315,0.6818181818181818,0.9282648603616231,0.6921825861077503
